﻿id,Tweet,Dialect
419,"""ماادري ليش دا احس هذا الجيل احسن من غيره واعي اكثر بلكت يسوي شي""",Iraqi
420,"""كل عام وانتي بالف خير ينعاد عليج كل سنه بسلامه وعافيه""",Iraqi
421,"""ترا هاي جذب وهي البنيه نفت هذا الشي وجان من مخيلته هو هيج كاتب""",Iraqi
422,"""هاي شنو""",Iraqi
423,"""امريكاتهاجمالمرجعيه السيد السيستاني افشل مخططهم ل اشعال النجف عام افشل مخططهم ل اشعال الحرب الاهليه والط""",Iraqi
424,"""عباس بيوم الكلافه صاح يحسين هاي چفوفي اهديها وي هاي العين روحي بعد فدوه لابن حامي ال""",Iraqi
425,"""لا عفيه يعني هاي الحركه مكشوفه چنت افكر اسويها باول يوم""",Iraqi
426,"""شو انا من سمعت الفديو ماكو صريخ مجرد مره وحده وصوت عادي جان مو مال شخص جاي يتعذب""",Iraqi
427,"""شدوس هسه درع الذهبي ع شنو ماخذه""",Iraqi
428,"""هاي الصفحه ع الفيس حقيقه ام زيف""",Iraqi
429,"""مناشده اخري احنا موظفات وزاره الدفاع المنحله نبارك جهودك المبذوله للسعي بطرح قضيتنا علا المسءولين وان شاءالله في مي""",Iraqi
430,"""بسم الله هاي شنو""",Iraqi
431,"""بطلوا هاي السوالف اغلبكم مطلع باي مظاهره سابقا اصلح نفسك وطالب بحق""",Iraqi
432,"""والله خوش شركاء وطن عايشين ويانه مدللين وبس يتامرون يريدون شبابنا تداافع وتحرر وتستشهد وتحاصر الخضراء وتسقط الحكم و""",Iraqi
433,"""حبيبي ماكو ما راضي كلام واحد منه باجر يقرون قوانيين للمواطن ويكون المواطن بخير الله وكيلك""",Iraqi
434,"""عزه هاي صدوك""",Iraqi
435,"""هو اكول مو مالتك هاي""",Iraqi
436,"""صار يومين وطنيه ماكو لان اكو عطل بالكيبل الرءيسي ومحد طلع يصلحه لان الجمعه والسبت عطله والطبيب يداوم ويلزم خفارات حتي بالعيد عيشتيش""",Iraqi
437,"""يعني خلال مسيرته كله بقوا يتكلمون عنه انها صبي ومدري ايش شفتيه تاثرت هسه تجي تتاثر يعني""",Iraqi
438,"""المشكله ماكو مكان عالي""",Iraqi
439,"""لما تكونين موظفه عليٰ الاقل غيري التي شيرت ماكو داعي تلبسينه طول الاسبوعوشعرج مشطيه مو تخلينه كوشه وتداومين نصيحه اخويه""",Iraqi
440,"""هاي مو هويام""",Iraqi
441,"""ذيل وربي ماكو غيرا""",Iraqi
442,"""اذا نجحتي هالسنه يمكن تقديمج علي معدلات هاي السنه حتي بعد سنه تقدمين""",Iraqi
443,"""خلنشوف نيمار الي ماكو منه شحيقدم هل موسم""",Iraqi
444,"""هاي ماادري ليش والله""",Iraqi
445,"""اي بالقران حجيتي الي بكلبي اني هيج الناس تحسدني اضحك هواي وبراسي ماكو شيب""",Iraqi
446,"""هاي اني جنت من العب رياضه اشغلها وهم انساها مشتغله""",Iraqi
447,"""تمنيتچ قبل لا اعرف اتمني هاي الدنيا كاع و ناس و انتي محبتچ جنه""",Iraqi
448,"""شوفي كارفخال شلون استلم وتحرك وعرض الكره هاي لقطاته من وره مرض قلبه بعد ما نشوفها""",Iraqi
449,"""ي بلكت""",Iraqi
450,"""في اليابان ليس هناك رسوب لتلاميذ الابتداءيه ولغايه المتوسطه وفي العراق الموسم الدراسي الحالي راح وما عدنه وزير ل""",Iraqi
451,"""من هاي وربطت حكومه حزام ماعدهه""",Iraqi
452,"""ع هاي الصوره افكر اصبغ البيت""",Iraqi
453,"""يا ام المصاءب يا مولاتي زينب جنها زينب هاي بنت حامي الدخيل بس عجيبه انشوفها بلايا اهل كون اخت عباس تركب عالهزيل يعن""",Iraqi
454,"""العراق مجتمع عشاءري من جان الديناصور تاكسي والدليل انتي كاتبه سجد الجبوري يعني معتزه بعشيرتج لتخوطين""",Iraqi
455,"""ماكو شي اسمه الطبيب ميجاوب ومن وره خشمه شايف ساعات اللود وكميه الاسءله الي تجي بالدقيقه الوحده تلك""",Iraqi
456,"""اغنيتي المفضله ايام سادس من جنت اكتءب اسمعها هاي الاغنيه مستحيل انساها وانسي ايامها""",Iraqi
457,"""انسو ولله سيلسين افضل منه وعنده وماعنده هذا استسلام من تدخل كره مرماه ماكو حارس داءم""",Iraqi
458,"""الله يحفضكم ولا يحرمكم م هاي الحنيه عيوني""",Iraqi
459,"""هلاا بيج عمري لج اي عفيه مصايب الدنيا كلها صارت وياي بالكوه يخلص اليوم""",Iraqi
460,"""ه دعوه شخص مستجابه هاي هجمان بيوت""",Iraqi
461,"""لا اقص عليج""",Iraqi
462,"""الف عافيه ماكو اطيب من هالغده""",Iraqi
463,"""هاي""",Iraqi
464,"""وتف شو المدارس اليوم واليوم ماكو مدارس نيقا وتفاك""",Iraqi
465,"""المصيبه جنت لابس بس بنطرون ماكو جواه شي""",Iraqi
466,"""اي والله هاي مشكله كبيره""",Iraqi
467,"""هسه علي الغده تبدي التعليقات عليهه انتي غطي وجهج""",Iraqi
468,"""الحشد بيش كيلو كل انجاز نسبتوه للحشد وهمه اول ناس بالشرده""",Iraqi
469,"""اسم الله عليج يالغاليه امزح معك ملكه""",Iraqi
470,"""ه اي هنا عندج حك اذا الحله حقج تلطمين اعرف مجتمع ع كلشي يحجي وينتقد اقاربي هناك واعرفهم وبالضبط مث""",Iraqi
471,"""كلت اطرح تساءل بلكت الكي اجابه""",Iraqi
472,"""يااستاذنا العزيز هاي الصحاري العدنه المناطق الي مابيها اسكان شنو خلص العراق حتي يخزنون بالمدن السكنيه يع""",Iraqi
473,"""شويه احسن بس الكهرباء لعبت بينا طوبه ماكو صار يومين""",Iraqi
474,"""وانو بيش متوقعين التعين شي جبير لهل درجه ليش محد يبلش يسوي مشاريعه الخاصه اضافه الي الوزار""",Iraqi
475,"""هلا بيك شلونك""",Iraqi
476,"""اكو مجموعه من المجلس الاعلي راحت اثقف للانتخابات السابقه بمضيف شيخ العبوده بالمشخاب نغس المجموعه الرا""",Iraqi
477,"""يااستاذنا العزيز هاي الصحاري العدنه المناطق الي مابيها سكان شنو خلص العراق حتي يخزنون بالمدن السكنيه يع""",Iraqi
478,"""بس هوه امجد عطوان جلال حسن هاي مثل الانتخابات ماكو غيرهم زلم""",Iraqi
479,"""هذه قوتها الانفجاريه كبيره هواي قدم الحشد والجيش شهداء بتفكيك مثل هكذا عبوات ناسفه""",Iraqi
480,"""تهون بس صديقاتها شلون يتغزلن وهو كلشي ماكو""",Iraqi
481,"""لبعض فقط المعاجبه حسابي ليتابعني ويلغي فولو وبلالغوه زايده خوش يااطفال تراصوتيهذاماكوداعياحجيطبيعي شبيكمكمزتوااكعدواتهي بهي""",Iraqi
482,"""جاي يحجي وياج طوله تفضلي""",Iraqi
483,"""هاي انتم يجربون بيكم تعاي هنا يمنا انواع""",Iraqi
484,"""من لليوم ثورات و شهداء و انت بعده عقلك لطش يا اخي شوف الواقع شوف البصره شهيد ضد الفساد لو هاي الاشياء ما تع""",Iraqi
485,"""والله ماكو تهديد اوضح من هيج""",Iraqi
486,"""انا اكبر واشرف من ان اكون جيش لحنان او لفاءق لكن وجهه نظري ضغطتك هاي اولا وثانيا تشوف روحك شلون انته لحنو""",Iraqi
487,"""لما تصحي من النوم واختك تجيبلك هاي""",Iraqi
488,"""مو كافي عاد هاي الافاض الي مابيه فاءده شنو هذه منطقكم""",Iraqi
489,"""اخ بس""",Iraqi
490,"""هاذا الجمهور ابيش يطلع الفرد والله خوش سالفه""",Iraqi
491,"""دود اذا انتي تسوين كلشي بحياتج علمود يحبوج الشباب ف ارجوج لتعممين وتصفينه وياج لول""",Iraqi
492,"""شنو هاي المضرطه زين ليش مو انتي عوبه وماتنحملين وممكن انتي خسرتي مو هوي""",Iraqi
493,"""عادي اكيد ضغط الاهل هاي اني جنت اريد شي و هسه اني بعيد كل البعد ع الاختصاص الي جنت اريده بسبب شنو بسبب الاهل و رغبتهم هم""",Iraqi
494,"""كالها علويه اني احبج واموت عليج وباجر راح اخذج للسوك واشتريلج كل شيء بنفسج الحرامي طكت روحه دك الچربايه""",Iraqi
495,"""خل يحجون قابل تنكلب بينه اليدري بروحه خوش انسان ليش يخاف من طينه""",Iraqi
496,"""رجعت توفرت مجموعهالاركان لكثره طلبات الزباءن عليها وبسعر مناسب ماكو مثل منتجات الاركان""",Iraqi
497,"""شني هاي""",Iraqi
498,"""اني من بابل او هاي الناءبه ماتمثلني او ماتمثل بابل بس جماعتنه ايصفكون للرايح وجاي شعبمنتهيالصلاحيه""",Iraqi
499,"""يسلمو حجي""",Iraqi
500,"""اختي العزيزه مبين عليج مثقفه وواقعيه واتمني تكونين كذلك الخبر لا مصدر ولا اي شي موثق يعني بين قوسين حب""",Iraqi
501,"""تره العراقي عجوزي تتذكرون بايام الحصار جان كلشي يصلح ويصنع وينتج فلم اتاري سيكا جان يصلحوه ماكو شي ماله ح""",Iraqi
502,"""اليريد هالشي موجود كله بيدك وبيدها ويعتمد عليكم بس اذا هو عكره و ساعه كالب خلقته لو ماخذه بومه بس تتشكي اكيد ماكو""",Iraqi
503,"""البارحه باليل جنت دا احجي ويه واحد وهسه دا افكر شجنا نحجي طبيت ع المحادثه واكتشفت انو هواي حجي عبالي كايلتلهيا مكات""",Iraqi
504,"""يا اابوفاضل ماكو بالتاريخ مثلك يعطش بصف النهر عاشوراءانتصار رايهالحسينمدرسهالاحرار""",Iraqi
505,"""شلونك شلون صحتك اخبارك بعد شلونك اي شكو ماكو الصحه الاحوال كلها اجابه وحده زينه الحمدلله وانتهت""",Iraqi
506,"""ليش بيش كيلو""",Iraqi
507,"""لا بس حتي نتونس بما انه عرفنه هاي اخر ايامنه""",Iraqi
508,"""عزيزي ادخل للسيديا ابحث عن هاي الاداه راح تنحذف جميع ادواتك ورجع ثبتازواتك من جديد""",Iraqi
509,"""لا ماكو هيج عزه بعيونهن هاي شنو""",Iraqi
510,"""شكرا اخويه ع هاي التغريده""",Iraqi
511,"""امنيتج تعبر عن العدد الكبير المتعرفه بي علي رجال انتي بس اكتفي بواحد مايجذب عليج اذا مجربته كله طبعا يجذبون عليج""",Iraqi
512,"""صحيح حبيبي مثل ما اكو رجال يبيعون وطنهم واهلهم من اجل المال""",Iraqi
513,"""موجودات هوايه بمنطقتنا""",Iraqi
514,"""اها ومتهجمين علي المرجعيه شعجب عاد همه خوش قناه""",Iraqi
515,"""انت مو صوجك صوج تويتر الي وافقت ع حسابك وصوجي هم""",Iraqi
516,"""ميدلل عليج ظالم""",Iraqi
517,"""ماكو مقارنه بين الدورين وين العدل""",Iraqi
518,"""وين البساطه من انت عايش بالشمال وتخبر اصدقاءك بالجنوب محد يعبرك ويدزلك صحن قيمه يكولون ما نكدر نجيكم هسه و""",Iraqi
519,"""حتي كاظم ح يحتفل وياج""",Iraqi
520,"""ماكو هيج نظريه ان خليه قلبت""",Iraqi
521,"""امير كلاوجي حتي يرضي الناس جان يوميه يتدين بدين ساعه مسلم ساعه مسيحي ساعه درزي اذا سامع ببيت الدين بلبنا""",Iraqi
522,"""العرك يرادله حيل وماطل واذا ما بيها بوكسات ماتصير حلوه واذا ماعندك تكتيك ويا البوكس وعقلك ماتشغله""",Iraqi
523,"""هاي امور بديهيه تري""",Iraqi
524,"""ابشركم عرفت اخذ سيلفي ومو بس هاي سيلفي وبالسياره يعني اتطورت""",Iraqi
525,"""هاي وينك""",Iraqi
526,"""هو هذا النمله غبي يتخبط وميفهم شنو يريد ماكو شي لان بساطه انتهت صفقه نيمار ومافي لاعب مهتمه في الاداره حاليا""",Iraqi
527,"""اي والله اكثر من واحد مدريدي و برشلوني منتظرين الغده بس انضربو بوري""",Iraqi
528,"""ولا تكعد ولا تهيد هاي المخلوقه تشتم تحرض تحب الطاءفيه بل من الدعاه الها مصطلحها المشهور يختصر كل الامور الانبطاح""",Iraqi
529,"""انت خوش تحجي بس ولا مره شفت بيك او باتباعك هاي الصفات صراحه""",Iraqi
530,"""مثلا عندي روايات ادب روسي مقاريهن لهسه و حاليا داخل بعمق الفلسفه و القانون ماكو روايه بيها فيزياء""",Iraqi
531,"""اليوم طلعت للدوام دامشي مثل العالم والناس وشافتني وحده كالت تباوعين عليه مو محرم ما تستحين او""",Iraqi
532,"""الله وكيلك والعباس كفيلك ماكو ادمي عنده عقل يغلط علي الامام علي عليه السلام والي يسويها فهو حيوان و ما محسوب عالبشر""",Iraqi
533,"""خوش قرار""",Iraqi
534,"""خب دنجبي خفتي وكمتي تمسلتين بل حجي حتي حذفوا الفديو مالتج""",Iraqi
535,"""بالله هاي شتحجب وياها بس لو اعرف منو الي عينها محاميه لمينا الشيخلي""",Iraqi
536,"""خلي شنوف الحبالحقيقي سءال للشباب والبنات مشترك اذا انطيك هاي الفلوس تترك حبيبتك اي لا""",Iraqi
537,"""طبيعي هاي المحضيه مالته تف""",Iraqi
538,"""اني كنت اكثر وحده تحبه وفرحت بجنون من صار مدربنا بس هسه مااطيقه بتاتا""",Iraqi
539,"""مرحبا اخوان اكو فد سءال محيرني هواي سالت محصلت جواب بسفدوه لتضحكون عليه شنو علاقه النومي بصره بالبصره يعني لويش""",Iraqi
540,"""ماكو احلي من الجنون""",Iraqi
541,"""هو انتي من كيفج لحد يكلج كافره ولا احد يكلج صاقطه هذا الشي يخص واصلا عيب تنشرين هيج هاي نضرتي شي بيمج وبين نفسج""",Iraqi
542,"""لحد الان ماكو شي رسمي""",Iraqi
543,"""خلي نشوفالحبالحقيقي سءال للشباب والبنات اذا انطيك هاي الفلوس تترك حبيبتك اي لا""",Iraqi
544,"""جيل هسه قويات ما شاء الله عليهم يعني يسووها خاصه اذا اكو حب بينهم""",Iraqi
545,"""فعلا صعبه بس مايصير تبداين بالكلمات مباشر لازم تعلميه اول شء الحروف وبعدها مقطع من حرفين عود المرحله الثا""",Iraqi
546,"""ماكو مشكله موافق احسن من الطفش الي انا فيه""",Iraqi
547,"""ه وحلوه هاي مال حتي جمالي طلع كذبه""",Iraqi
548,"""اعرف بروحي ما افوز فماشاركت بلكت انتي تفوزين""",Iraqi
549,"""هاي حضر من شخص غرد داخل التغريده يعني بالردود احد هم حاضرك""",Iraqi
550,"""مخلصين وياه للموسم الجاي خلاص بعد ماكو صفقات بس صفقه اريولا مكان نافاس اعاره""",Iraqi
551,"""باوع مو كل اصابعك سوه تره من يغلطن علي اللي دا يشوفنه مكالن اسامه مو خوش لتاخذ علي نفسك عيوني انت""",Iraqi
552,"""تعبني البعد حد ما مشه الحال وعرفت شلون اجر ال اووف موال بس الكالك ناسيك چذاب هاي الماعرفت شلون تنكال""",Iraqi
553,"""اول شي متي تغير هل البس وتحد زهق منه ثاني شي خاتم شو عمل بيدك ماكو تصوير""",Iraqi
554,"""حملت جلبريك كميرا وصار عندي ارتفاع بحراره جهاز ماكو اله حل لو ارجع للانكفر""",Iraqi
555,"""قليلين حلمهم طب اكثر شي هو ضغط العواءل لان ماكو تعيين غير الطب والصيدله""",Iraqi
556,"""ي هاي اني هم هواي اسويها اتفرج فيديوات للمسلسلات احرك النهايه عليه واروح اتفرجها كالاسد""",Iraqi
557,"""اذا داءما تطلبون من جهه ان تثور وتنتفض لعد شركاءهم بالوطن شنو شغلهم بس يسولفون ويباوعون يعني مثلا تريد""",Iraqi
558,"""نكاحيات الخلافه الداعشيه في الموصل و الغربيه نظرا لكثره الدواعش كان هنالك جداول و كانت كل داعشيه تكون من حصه دو""",Iraqi
559,"""اختي تكول ب عكس خوش منظر مو مال امتحانات مع لعلم ساعه هيه هيج داوم طب عام""",Iraqi
560,"""نشكركك جدا ع مصداقيتك موسي من انجح الصحفيين في نظريوالله يسعد محمد الي ماكو من تواضعه""",Iraqi
561,"""هاي شنو حموت""",Iraqi
562,"""ماكو تعين بشاربك صار سنه متخرج""",Iraqi
563,"""ولله ماكو هيج ورطه والنوب اكللهم جذب يمعودين يكولولي خو كول متريد تعزمنه""",Iraqi
564,"""هسه انتو طلعو نفسكم من المزبله والرذيله التي غارقين بها وبعدين دور مستقبل""",Iraqi
565,"""هاي شنو صاير صراع ع الباميه والبانيه اني وين جنت حرامات مشاركت""",Iraqi
566,"""شتم احيانا مايكون بصريح العباره مرات توصله بنقد مثلا هاي تغريديك اتهام لكل ضحاايا صدام بالكذب ونكراان م""",Iraqi
567,"""شنو ماكو مبروك""",Iraqi
568,"""الكل يكذب والفرق بالنسبه فقط هناك انسان يكذب كثير او قليل او نادرا والانسان الصادق بكل كلامه هذا ملاك او نبي وانتهي""",Iraqi
569,"""بلي هوايه كتب بيها فيزياء عندك فيزياء الحزن مثلا والكون الراءع و واكو هوايه بعد""",Iraqi
570,"""الحسين عليه السلام علم و نور واصلاح وهدايه وتعليم المنهج ع سيرته جيل بعد جيل الحسين عليه ال""",Iraqi
571,"""ه هاي وين لكيتها""",Iraqi
572,"""حبيبي همج وناس تعبانه لثق باحد ابد""",Iraqi
573,"""ليش تهاني وتبريكات اكو شخص يفرح ن نبيه تم تهجيره بشكل قسري هاي الناس شبيها""",Iraqi
574,"""هو انتهي انا ما اختلف علي هاي النقطه وباخر موسم اله معنا كان كارثه دفاعيه اكثر من روبيرتو بس الفكره بعد""",Iraqi
575,"""لا بكيفج هاي انتي توجهي ه""",Iraqi
576,"""انتي تكولين ماكو رجال مايكذب شلون وصلتي لهذه نتيجه غير من كثر تجارب بعد شنو المحدود اكتفي بواحد مو ش""",Iraqi
577,"""اكو هواي نسوان مستغلات هذا الموضوع بحجه انو هيه مريه تحجي وتكول كلشي وتتجاوز ووراها تطلب المساواه بكل شي شني هاي""",Iraqi
578,"""مو خوش حل""",Iraqi
579,"""ادري شنهل العقليه الي شايليه شنو هلتخلف الكل يدعي باسم الدين والشرف وهمه ولاشي ماكو قانون ولا اي شي بلدين يكول هيج""",Iraqi
580,"""حجي محمد مال تركيا حلوه ملابسه""",Iraqi
581,"""اليوم كاعده اني واخوي وماما بالصاله ف اخوي راسلني كالي هاي شلابسه اني عادي ما اهتميت جان يصورني ويدز الصوره خاص صدم""",Iraqi
582,"""هي هاي السوالف انتقلت من الانستا لهنا""",Iraqi
583,"""ماكو شي اسمه شونك شلونك""",Iraqi
584,"""ه علي و وسيم ماكو رجل دين معتدل بشكل عام""",Iraqi
585,"""هاي الاغنيه فد شيء جدا جميل للاذن""",Iraqi
586,"""انت سكران ها لك انت تضحك علي العالم بهاي سوالفك وتستجدي تعاطفهم ياخري شنو هاي""",Iraqi
587,"""هاي منين جبتها ترا مو بيدي يعني ما اتحمل اشوف خطا لغوي واسكت اعذرني""",Iraqi
588,"""دتشوف التعليقات كلها مناشدات وهاشتاكات يطالبون انو تعينوهم وتوفرولهم فرص عمل لو مدتشوف ياريت لو صد""",Iraqi
589,"""شني هاي في""",Iraqi
590,"""اي والله هسه ما احتاج امشطه""",Iraqi
591,"""هاي شنو اهلا وسهلا""",Iraqi
592,"""الله يرحمها ولك هاي عارعليك نذل""",Iraqi
593,"""اذا علي هاي سهله""",Iraqi
594,"""شنو فرقها عن العراقيات الي انتهكوا شرفهن ومحد حجه وجاب طاريهن هسه صرتوا شرفاء شنيهاي""",Iraqi
595,"""زين هاي مو تعتبر سياحه دينيه ويستفاد منه العراق هاي السعوديه بموسم الحج وهاي ايران بموسم زياره الرضا ليش متسو""",Iraqi
596,"""هاي""",Iraqi
597,"""اعتقد هاي عنصريه""",Iraqi
598,"""هاي""",Iraqi
599,"""ممعقوله اكو امراه محترمه تتلفظ هذه الالفاظ الظاهر هاي عاءله ساقطه خلقيا وتربيه شوارع""",Iraqi
600,"""هاي""",Iraqi
601,"""""",Iraqi
602,"""هاي""",Iraqi
603,"""ماكو تغير شعبنا ريبورتات""",Iraqi
604,"""هاي""",Iraqi
605,"""اشاقي وياج ممسافر""",Iraqi
606,"""مو خوش مواطن انا""",Iraqi
607,"""خوش اكتشاف""",Iraqi
608,"""هاي يرادلهه خطه وحظ""",Iraqi
609,"""لازم يكون استنكار واسع ولازم يكون تحرك منكم قوي حتي تنسد هاي القناه المسمومه النكره واللي تريد تشعل""",Iraqi
610,"""تنجمع وميموت بس تعرف منو الحرامي ابن الحرامي الفاسد ابن الفاسد والدليل علي صحه كلامي الفاسدين وابن""",Iraqi
611,"""ماكو غياب""",Iraqi
612,"""المفروض اكو قياده حتي تسقط حكومه مو شعب يسقطها وكلشي ماكو لا خطه ولا مستقبل""",Iraqi
613,"""يعني اريد افتهم شنو الفاءده من هاي التغريده هل للضحك""",Iraqi
614,"""ه هاي حيل قويه هاي""",Iraqi
615,"""هلا بيك شلونك""",Iraqi
616,"""دمشي لك هاي صورتي وهمه سارقيه ناس ساقطه شسوسلهم""",Iraqi
617,"""ه هاي حيل قويه""",Iraqi
618,"""فداك الكون شلونك اخبارك""",Iraqi
619,"""هاي ما تجيب نص قطره من بحر اجرامه""",Iraqi
620,"""محرم ها قد اتي مراد اللطامه شبعوا لطم منا لشهرين بس لا تنوونه لطمكم للامام انووا ع حالكم لان الامام""",Iraqi
621,"""اذا هاي النماذج تقود الشعب فاقرءو السلام""",Iraqi
622,"""ماكو احد طبخ يمنا الحد الان""",Iraqi
623,"""انت تعرف قضيه الحسين علي هاي اخلاقك حتي علي فريق يزيد متنحسب بما ان عقلك غير شغال راح اوضحلك شنو اقصد""",Iraqi
624,"""ميلادي يصادف ليله عاشوراء خوش بدايه سنه مبينه مليانه تفاءل وافراح""",Iraqi
625,"""ازدياد الرفاهيه و العنف اي التفاوت الطبقي هو بسبب نظام حكم الدوله القاءم حاليا لو دوله مدنيه ما صار الجاي يصير هسه""",Iraqi
626,"""الله يحفظج ويستر عليج""",Iraqi
627,"""اكو ديودرنت احسن من هاي العطور عبالك مكوناتها بانزين""",Iraqi
628,"""هاي العطله المرت الصار تقريبا تلث اشهر كلشي مسويت وعباره عن فشل ونفس الكعده من اخر يوم امتحان فاينل لحد هل لحظه شهل قرف""",Iraqi
629,"""يابه والله وتالله وبالله الانتخابات تعني انك ترجو من السياسي ان يخدم وطنك ويكون هدفه الصالح العام اما اذا جعلت""",Iraqi
630,"""لا حول ولا قوه الا بالله هاي شبيهم العالم الله يرحمها ويغفر لها""",Iraqi
631,"""خوش جا شناكل بس خبز وماي اذن رجع علينا الحصار من جديد""",Iraqi
632,"""منورده ست خوش""",Iraqi
633,"""زين ليش اجه عليج""",Iraqi
634,"""هم دنيا تنحسبين وتحاسب عليج""",Iraqi
635,"""هوايه اضافات جتني هالايام واني بالمقابل رديتها طبعا انيٓ صارلي من بالتويتر بس ابدا مافكرت بعدد المتابعين""",Iraqi
636,"""مايطلعون مايثورون مايحاربون حاربنا وقاتلنا واستشهدنا وتظاهرنا بعد شكو ادري هو بسالشيعهعليهم هاي الواجبات ا""",Iraqi
637,"""امبر طلعت من شركه بعد ما اعرف تقريبا عشر سنين ومو اول وحده فرق كومه حرفيا ماكو فرقه عدهم ما طلعوا قسم من اعضاء""",Iraqi
638,"""بمعزل عن الضحك والجد بس عطله محرم هاي ثابته ضمن العطل الدستوريه راس السنه الهجريه وحالها""",Iraqi
639,"""جوانه ده ست خوش""",Iraqi
640,"""ماكو احد ينصحج يريد اذيتج او يفيك مثل متكولين لان لو هيج مينصح يعوفج علي غلطك ويضحك عليج""",Iraqi
641,"""انسوويها اني وياج""",Iraqi
642,"""هيه دكتوره وتزحف هاي امس صارت كدامي بقت ع المراجع""",Iraqi
643,"""الله عليج""",Iraqi
644,"""ه حلوه هاي""",Iraqi
645,"""والله خوش محتفظه بحقوقي""",Iraqi
646,"""يله معايزه عليهه اني هاي سيارتي""",Iraqi
647,"""لان ماكو مبرر غير هاي العباره""",Iraqi
648,"""تتعرف عليج""",Iraqi
649,"""الف مبروك انضمام العراقي الاعلامي احمد البشير لهذه المجموعه اني ما عندي قدر كافي من المعلومات عن هاي المجموعه لكن""",Iraqi
650,"""ليكول كلمه هاي يحاول يكون لطيف معك رغم انت واثق ماكو لطافه بالموضوع""",Iraqi
651,"""تقارنين صوتي بصوته معالاسف عليج""",Iraqi
652,"""هاي شغلات ما تهمني الصراحه هم احرار بيها بس احجي عن الشغلات الكبيره""",Iraqi
653,"""مو يمكن الكلام يكون صحيح و اللي يعزز الشك انه بكل مره يتعلق الموضوع بلاعبي باريس النادي يصدر بيا""",Iraqi
654,"""الله عليج جوجو""",Iraqi
655,"""ماكو داعي لهذا التملق اكثر سياسي متلون منذ عام هو حضرتك ولحد الان انت ممحقق هدفك كم سنه يلزمك الا توصل""",Iraqi
656,"""دوم يارب هاي الضحكه""",Iraqi
657,"""اعتراضك عن الموضوع و رده فعلك العنيفه هاي الي خلتك تحس بالتقزز من مساعدتك الها وره ما سمتك اخويه هو دليل كافي وو""",Iraqi
658,"""من شفت هل هلال شهرك يعاشور كمت احس بل دلال جن جمره وتفور لبيكياحسين""",Iraqi
659,"""محمد هم ماكو تعاريف اليوم""",Iraqi
660,"""هسه اكول لبيريز واجيج نمونه صدوك جذب من عيني""",Iraqi
661,"""هاي شنو سهله""",Iraqi
662,"""قصدي واضح محد راد عليج وتردين ع تغريدج ليش هالعصبيه اشاقه وياج""",Iraqi
663,"""شوف لحوم دخلت اليوم العراق عن طريق ايران حاطين لحكوم بنص طابوك بالله عليج هذا""",Iraqi
664,"""خبصونا هسه هو تعادل عبالي خسرانين الله يساعدنا ذاك الموسم اريد انساه ما اكدر نور الزين""",Iraqi
665,"""برهومي حبيبي تري ماكو واحد يعبد الحسين""",Iraqi
666,"""لم تكوني اول حب كنتي اول حياه شني هاي الله يرحمج""",Iraqi
667,"""احنه ماكو ابد""",Iraqi
668,"""اي هاي هم زين""",Iraqi
669,"""سجل يمك امراه مضروبه بوري من احدهم""",Iraqi
670,"""هاي نواشف مو تمن عدس""",Iraqi
671,"""لي يمته هاي الناس مدا تستخدم هذا الشي وحق شريفه تري مجاني وميكلف""",Iraqi
672,"""ملاحظين اكو تناغم وتوافق زماني بين التقارير المسمومه للقنوات الاميركيه وقنوات الحقد البعثي الداعشي وبين قيح كلابهم""",Iraqi
673,"""ماكو دور ثالث تيا""",Iraqi
674,"""شوف دكتور عجبتني صفحتك واراءك حلوه بس هسه جاي من الدوام وتعبان واريد انام من اكعد نسولف بجم تويته""",Iraqi
675,"""بلكي والله تصير تره خوش لاعب""",Iraqi
676,"""هي هاي سوالفهن""",Iraqi
677,"""خوش فضيحه""",Iraqi
678,"""اني بحياتي كلها مسامع وحده كايلتلي كلمه اخويه اذا جانت مراجعه لو بيشنت لو حته بنيه غريبه من الشارع بس ا""",Iraqi
679,"""وانت شعليج عسي ميطلعون مصاليخ انت شكو بابا هاي حريه ليش حاطه نفسج شهل عيشه حتي بالملابس حاطين خشمكم""",Iraqi
680,"""يارب شلونك انت حبيبي""",Iraqi
681,"""اني هم حتاريت شبيها هاي""",Iraqi
682,"""اكلج هاي صورج لو خامطتهن""",Iraqi
683,"""اسم الله عليج من كل شر هاي حياتج و خصوصياتج و محد يتدخل بيها""",Iraqi
684,"""ياحقوق اخويه ماكو دوله اصلا هسه لو كل شخص عنده افلوس بشرفي يترك العراق""",Iraqi
685,"""عود شنو هاي من تكون مكانها تكون اسير داعش عود تعال صير رجال""",Iraqi
686,"""چنت مو حسين التعرفو هسه ه""",Iraqi
687,"""ماكو نتيجه جانت امنيه""",Iraqi
688,"""عفيه عليج""",Iraqi
689,"""والله العظيم تغريداته كولهه ع ريال مدريد وانضغاطه من النادي هسه تجيب اي نادي باسبانيا""",Iraqi
690,"""والله الاسلام الحقيقي بريء من هاي التفاهات شوف الاسلام المذهبي والسياسي شسوي بالعالم""",Iraqi
691,"""اه ياحظكم اني كضيت طفولتي شعري لحد الرقبه بحيث صار عقده بحياتي هسه شعري لحد نص ظهري وهم خابصيني كصي كصي""",Iraqi
